MQ2,MQ3,MQ5,MQ135
100,112,97,39
100,112,98,39
100,112,97,39
99,112,97,39
100,112,97,39
100,112,97,39
100,112,97,39
99,111,97,38
99,111,97,39
98,111,97,38
98,112,97,38
99,112,97,38
98,112,97,38
98,112,97,38
98,112,97,38
98,112,97,38
98,112,97,38
99,112,97,38
99,112,97,38
99,112,97,38
99,113,98,38
100,114,98,38
99,114,97,38
99,114,98,38
99,114,97,38
99,114,98,39
100,114,98,38
99,114,98,38
99,115,98,38
99,115,98,38
99,115,99,38
99,115,98,38
99,115,98,38
100,116,98,38
99,116,98,38
99,116,98,38
100,117,98,38
100,117,98,38
100,118,98,38
100,118,98,38
99,121,99,38
100,122,99,38
100,122,99,38
99,122,99,38
100,123,99,38
100,123,99,38
100,124,99,38
99,124,99,38
100,125,99,38
100,125,99,38
100,126,99,38
100,126,100,38
100,127,100,38
100,127,100,38
100,127,100,38
100,128,100,38
100,128,101,38
100,129,101,38
100,130,101,38
100,130,101,38
100,137,101,38
100,137,101,38
100,137,101,38
100,138,101,38
100,138,101,38
101,139,101,38
100,140,101,38
100,140,102,38
100,141,102,38
100,142,102,38
100,144,102,38
100,145,102,38
100,145,102,38
100,146,102,38
100,146,102,38
100,146,102,39
100,146,102,38
101,147,102,38
100,148,102,38
100,148,102,39
101,153,103,38
101,154,104,38
101,155,103,38
101,156,103,39
101,157,104,38
101,157,103,39
101,157,104,38
101,158,104,39
101,159,104,38
101,159,105,38
101,161,105,38
101,162,105,38
101,163,105,39
101,164,105,38
101,164,105,38
101,165,105,38
101,166,105,38
101,167,105,38
101,168,105,39
101,169,105,38
101,171,105,39
101,171,106,38
102,172,105,39
101,172,106,39
101,173,106,38
101,173,106,39
101,173,106,39
102,173,106,39
101,174,106,39
101,174,106,38
101,175,106,39
102,175,106,39
101,176,106,39
102,177,106,38
101,178,106,39
101,178,106,39
101,178,106,39
101,179,106,38
101,179,106,39
101,180,106,38
101,181,108,39
102,180,107,39
101,180,107,39
101,179,106,39
102,179,106,39
102,179,106,39
101,178,105,39
101,178,106,39
102,178,105,39
101,178,106,39
101,178,105,39
101,177,105,39
102,178,105,39
102,177,105,39
101,177,105,39
101,176,104,39
102,176,104,39
102,176,104,39
101,175,103,39
101,175,104,39
