MQ2,MQ3,MQ5,MQ135
137,177,201,33
136,177,201,34
137,177,201,34
136,177,201,34
136,177,201,34
136,177,201,34
137,177,201,34
137,177,201,34
136,177,201,33
137,177,200,33
137,177,200,34
136,177,200,34
136,177,200,34
136,177,200,34
136,177,200,34
136,177,200,34
136,176,200,34
136,176,200,34
136,177,200,33
136,177,201,34
136,177,201,34
136,177,201,34
136,176,201,34
136,176,201,34
136,177,201,35
136,176,200,34
136,177,200,34
138,177,201,34
136,177,201,33
136,177,200,34
136,177,201,34
136,177,200,34
136,177,201,34
136,176,200,33
136,176,201,35
136,176,201,35
136,176,200,34
136,176,200,33
137,176,200,34
137,176,201,33
136,176,200,34
136,176,200,34
136,176,200,34
136,175,200,34
137,176,200,34
136,176,200,34
136,176,200,34
136,176,200,34
136,176,200,33
136,176,199,34
136,177,200,34
136,176,201,34
136,175,200,34
136,176,200,34
136,175,200,34
136,175,200,34
136,175,200,34
136,175,200,34
136,175,200,33
136,175,200,33
136,175,200,34
136,175,200,34
136,176,201,34
136,175,200,34
136,175,200,34
136,175,200,34
136,175,199,34
136,176,199,35
136,175,200,34
137,175,201,34
136,175,200,34
136,175,199,34
136,175,199,34
136,175,201,34
136,175,200,34
136,175,199,34
136,175,200,34
136,175,199,34
136,175,199,34
136,175,199,34
136,175,199,34
136,175,199,34
135,175,199,34
136,175,199,34
136,175,199,34
136,174,200,35
136,174,199,34
136,174,199,34
136,175,199,34
136,174,199,33
136,174,199,33
136,175,199,34
136,175,199,34
135,174,199,34
136,174,199,34
136,174,199,34
136,174,200,35
135,174,199,34
135,174,199,34
136,174,199,34
136,174,199,34
136,174,199,34
136,174,199,34
136,174,200,34
135,174,200,34
135,173,199,34
136,174,200,34
135,173,199,34
136,174,199,34
136,173,200,34
136,173,200,34
136,174,199,34
135,174,199,34
135,173,199,34
135,174,199,34
136,174,200,34
135,173,199,34
135,173,199,34
135,173,199,34
135,173,198,34
136,174,199,34
135,174,199,34
135,174,199,34
135,174,199,34
135,173,199,34
135,173,199,34
135,173,199,34
135,173,199,35
135,173,198,34
135,173,199,34
137,173,198,34
136,173,199,33
135,173,199,34
135,173,199,34
134,174,199,34
135,173,199,34
135,173,199,34
135,173,199,34
136,173,201,35
135,173,200,34
135,173,199,33
135,173,200,34
135,174,200,34
135,173,200,34
135,173,199,34
135,173,199,34
136,172,200,34
136,172,200,34
135,172,199,34
135,172,200,34
135,173,200,34
135,172,200,33
135,172,200,34
136,173,199,34
136,173,200,34
135,172,200,34
135,172,200,34
135,172,200,34
135,172,199,34
135,172,199,34
136,172,199,34
136,172,199,34
135,172,199,34
135,172,199,34
135,172,199,34
135,172,200,34
135,172,199,34
135,171,199,34
135,173,199,34
135,172,199,35
135,171,199,34
135,171,199,34
136,172,199,34
135,172,199,34
135,171,199,34
135,171,199,34
134,172,199,34
135,171,198,34
135,171,198,34
135,171,198,34
135,171,198,34
135,171,198,33
135,171,198,33
135,171,198,34
135,172,199,34
134,172,199,34
134,171,199,34
136,171,199,34
135,171,200,35
135,171,199,34
135,171,199,34
135,171,199,34
135,171,200,33
135,172,199,34
135,172,199,34
136,173,200,34
135,172,200,34
135,171,199,34
135,171,199,34
135,171,200,34
135,172,199,34
135,172,199,35
135,171,199,34
136,171,199,34
135,172,200,34
135,171,199,34
135,171,200,34
135,172,201,34
135,171,199,34
135,171,199,34
135,171,199,34
135,171,199,34
135,171,199,34
136,171,199,34
136,171,199,34
135,171,199,34
135,171,199,34
135,171,199,34
135,172,200,35
135,171,199,34
135,171,198,34
135,170,199,34
136,171,199,34
135,171,198,33
135,170,198,33
136,171,198,34
135,171,198,34
135,170,199,34
135,170,198,34
135,170,198,34
135,170,199,35
134,170,198,34
135,170,198,34
135,170,198,34
135,170,198,33
135,169,198,33
135,170,198,34
134,171,198,34
134,170,198,34
134,170,198,34
135,170,198,34
135,170,198,34
135,170,198,35
134,170,198,34
135,170,198,34
135,170,198,34
135,170,198,34
134,170,198,34
135,170,198,34
135,170,199,34
135,170,199,34
134,170,199,34
135,170,199,34
135,170,200,34
135,170,199,34
135,170,199,34
135,171,199,34
135,170,199,34
135,170,199,34
135,170,200,34
135,169,199,34
135,170,199,35
135,169,199,34
135,170,199,34
136,169,199,34
135,169,199,34
136,169,199,34
135,169,199,34
134,170,199,34
134,170,199,35
135,169,198,34
136,169,199,34
135,169,198,35
135,169,198,34
135,169,198,35
136,169,198,34
134,169,198,34
134,168,198,34
134,169,199,34
133,169,199,34
134,168,199,34
134,168,199,34
134,168,199,34
134,169,199,34
134,168,199,34
