MQ2,MQ3,MQ5,MQ135
133,117,199,34
133,118,200,34
133,117,200,34
134,117,200,34
133,117,199,34
133,118,200,34
133,117,200,34
133,117,201,34
133,117,200,34
133,117,200,34
133,117,200,34
133,117,199,34
133,117,200,34
134,117,200,34
134,117,200,34
133,117,200,34
133,117,200,34
133,118,200,34
132,118,201,34
133,117,201,34
133,117,202,34
133,117,202,34
134,118,202,34
137,118,203,33
143,119,209,34
145,125,215,34
145,130,224,34
146,131,235,34
148,132,232,34
151,135,230,35
152,139,233,35
151,143,235,34
152,146,236,34
153,149,240,34
153,150,244,34
154,152,244,34
156,154,246,34
156,158,248,34
156,159,250,35
157,161,252,34
160,165,259,34
162,168,260,34
162,170,263,35
163,172,266,34
163,173,268,34
164,176,270,35
163,178,273,35
164,180,277,35
165,181,282,35
167,183,282,35
167,185,283,35
167,187,288,35
167,188,292,35
167,188,289,35
167,188,288,35
168,190,288,35
169,191,291,35
169,194,293,36
169,195,295,35
169,195,300,35
170,196,305,35
170,199,306,36
170,200,301,34
171,201,300,35
172,202,301,35
171,202,302,34
171,202,300,35
171,203,304,35
170,204,309,35
172,204,310,35
172,203,313,35
172,203,311,35
172,204,311,36
172,203,313,35
172,203,310,35
173,205,308,35
172,206,307,34
172,207,307,35
172,209,308,35
172,208,308,35
173,208,310,36
173,209,309,35
173,210,311,35
173,210,306,35
173,209,299,34
173,205,298,35
173,204,296,34
173,203,294,35
173,200,293,36
172,200,293,36
172,201,293,36
172,198,292,37
171,198,292,35
171,195,291,35
171,195,290,35
172,194,289,34
171,194,290,34
171,193,288,35
172,192,286,35
171,190,285,35
171,188,284,35
171,187,283,35
171,187,283,36
171,187,280,35
170,186,279,35
171,185,278,35
171,184,277,35
170,183,278,35
170,183,277,35
171,182,274,35
169,182,274,35
170,180,272,36
170,180,270,35
170,179,270,35
170,179,269,35
169,178,269,35
170,178,269,35
171,179,269,35
170,177,268,35
170,177,266,34
170,177,266,36
170,177,265,36
169,177,265,37
169,177,264,36
168,177,265,36
168,176,265,36
168,177,264,35
168,176,263,35
169,177,263,36
169,177,262,36
168,176,262,36
168,177,260,36
168,177,259,36
169,176,260,37
168,176,258,36
168,176,257,36
168,176,258,36
168,176,257,35
168,176,256,35
168,176,256,35
168,176,255,36
168,176,256,36
168,175,255,36
168,175,254,35
167,175,254,36
167,175,253,36
167,174,252,35
167,174,251,36
167,174,251,37
167,173,251,36
166,173,251,36
166,173,251,36
166,174,252,36
166,173,250,36
166,174,249,35
166,173,248,36
166,173,247,36
166,172,247,36
166,172,247,35
166,172,246,36
165,172,246,36
165,172,245,35
165,171,245,36
165,171,246,36
165,171,245,37
165,171,244,36
165,170,244,36
166,171,243,35
164,170,242,35
164,169,241,36
164,170,242,36
164,170,242,36
164,169,242,36
164,169,242,35
164,169,242,37
164,169,242,37
164,170,241,35
164,169,241,36
164,167,241,36
164,168,240,35
163,168,240,36
163,167,239,36
163,168,239,36
164,166,239,36
163,166,238,36
163,166,238,36
164,166,237,36
163,166,237,36
163,166,237,36
163,166,237,36
163,166,238,36
163,166,236,36
162,165,236,35
163,165,237,35
162,165,238,36
162,164,236,36
162,165,236,35
