MQ2,MQ3,MQ5,MQ135
102,120,107,38
102,119,107,38
102,119,107,38
103,120,107,38
102,120,107,38
103,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
103,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,107,38
102,119,110,38
103,119,205,40
107,123,320,44
116,170,408,48
122,299,458,50
127,377,488,51
132,427,503,53
140,465,507,55
148,496,510,56
155,520,510,57
162,539,508,58
167,554,504,58
171,563,499,58
175,571,491,58
178,577,485,58
