MQ2,MQ3,MQ5,MQ135
142,111,180,35
141,110,180,35
141,109,180,35
142,109,180,35
141,109,181,36
142,109,180,35
141,110,180,34
141,110,180,35
141,109,180,34
141,109,180,34
141,110,180,35
141,110,180,35
141,109,181,35
141,108,180,35
141,109,180,35
141,109,180,36
141,109,180,35
141,109,180,35
141,109,179,35
141,110,180,35
141,110,180,35
141,109,180,35
141,109,180,34
141,110,181,35
140,109,180,35
141,109,180,35
140,109,180,35
140,109,179,35
141,109,180,35
141,109,180,35
141,110,181,35
140,110,181,35
140,109,181,35
140,110,181,34
141,110,181,35
141,109,181,36
140,109,181,35
140,109,181,34
142,110,181,35
142,110,181,34
141,109,181,34
141,110,181,35
140,111,181,35
140,109,180,35
141,110,180,36
141,110,181,35
141,110,182,36
141,110,181,35
141,110,182,35
142,111,182,35
141,111,182,34
141,111,182,35
141,111,183,35
140,111,183,35
141,110,184,35
141,111,184,35
141,112,184,35
142,112,185,36
144,113,186,37
143,113,186,35
143,112,185,35
144,114,184,36
143,113,184,35
143,113,184,35
143,113,184,35
143,112,183,36
143,113,183,35
144,113,183,35
146,113,183,35
148,113,186,36
163,112,242,37
291,114,283,41
327,113,294,41
327,115,308,41
331,114,314,40
338,115,318,40
344,115,316,40
344,116,315,41
344,116,314,40
348,117,314,40
348,117,314,40
347,117,314,40
346,117,314,39
346,118,314,39
345,118,316,39
345,118,315,39
346,118,314,39
346,119,315,39
346,119,314,39
346,119,314,39
346,119,313,39
345,119,308,39
344,120,306,39
341,119,304,39
335,119,299,38
331,119,296,39
330,120,293,41
327,119,290,38
330,121,288,41
327,121,283,41
321,121,279,40
319,120,276,40
314,121,273,40
310,121,271,40
305,120,270,40
304,120,269,40
303,120,268,40
301,119,268,40
300,120,267,40
299,119,266,40
297,120,264,40
297,120,261,40
296,119,260,40
298,119,259,39
299,119,258,40
301,119,258,40
302,118,256,40
302,119,255,40
304,119,255,40
304,119,253,40
