MQ2,MQ3,MQ5,MQ135
144,119,192,35
144,119,192,35
144,119,192,35
144,119,192,35
144,118,192,36
144,119,191,35
144,119,192,35
144,119,192,36
144,119,192,35
144,119,192,35
144,120,192,36
144,119,192,36
144,119,192,36
144,119,192,35
144,119,192,36
144,118,192,36
144,119,191,35
144,119,192,36
144,118,191,35
144,119,191,36
144,119,191,35
144,119,191,35
143,119,191,36
143,119,191,35
143,118,191,36
143,119,191,36
143,118,190,37
143,119,190,35
143,118,191,35
144,118,191,35
143,118,191,35
143,119,191,35
143,119,191,35
142,119,191,36
144,119,192,36
143,118,191,35
143,118,191,36
143,118,192,36
145,118,191,35
298,118,192,35
399,119,255,38
460,118,320,43
490,118,328,45
493,119,360,45
509,119,398,46
504,119,403,46
502,121,402,45
500,121,402,45
507,121,408,46
531,122,415,48
554,122,420,50
559,122,437,50
550,123,448,51
538,123,450,51
538,122,453,50
544,122,457,50
546,122,458,51
555,122,457,51
559,123,460,51
556,123,464,52
562,123,472,53
568,123,468,55
569,123,462,54
567,123,460,54
561,124,453,54
558,124,450,54
560,123,446,53
560,123,443,54
558,123,441,54
557,123,436,53
554,123,432,52
553,123,428,51
550,123,427,51
548,123,426,51
547,123,425,50
544,123,421,50
542,122,420,50
541,122,419,49
538,123,417,50
536,122,415,50
534,122,412,49
531,122,409,48
529,122,406,48
526,122,403,47
522,122,400,47
520,121,399,46
518,121,398,46
516,121,395,47
513,121,393,46
509,121,392,45
506,121,392,45
506,122,392,45
505,121,389,44
500,121,387,44
494,122,385,44
492,121,384,44
491,120,383,44
492,121,381,44
493,120,379,44
490,120,375,43
486,120,374,43
486,120,372,44
486,120,372,43
485,120,370,42
482,120,367,42
480,120,367,43
479,120,368,42
478,119,368,43
476,119,367,42
475,120,366,43
474,119,363,42
473,120,360,42
472,120,356,42
472,119,355,42
471,119,355,42
470,119,354,41
469,119,350,41
467,120,350,42
465,119,351,41
461,119,351,41
459,119,351,42
455,119,350,41
456,119,347,41
458,118,345,41
458,119,343,41
459,120,343,40
458,119,344,41
457,119,342,41
456,119,342,41
451,118,343,42
452,118,342,41
454,118,338,41
453,119,336,41
454,118,336,40
453,118,338,40
