MQ2,MQ3,MQ5,MQ135
127,115,187,34
127,115,187,34
126,115,187,34
126,115,187,34
126,115,187,34
126,115,187,34
126,115,187,35
126,115,187,34
126,115,187,35
126,115,187,35
126,115,186,34
127,114,187,34
127,115,187,34
126,115,187,34
126,115,187,34
126,115,187,34
125,116,187,34
126,115,187,34
126,115,187,34
126,115,188,34
126,115,188,35
126,115,189,34
126,115,188,34
126,115,189,34
127,116,188,34
127,115,189,34
127,115,190,34
127,115,190,34
128,115,190,35
127,115,189,34
126,115,189,34
127,115,189,34
127,115,189,35
127,115,189,34
127,115,189,34
127,116,189,34
127,115,189,34
127,115,189,34
127,116,189,34
127,115,189,35
127,116,188,35
127,115,188,34
127,115,189,34
128,115,189,35
127,115,189,34
127,115,189,35
127,120,196,35
127,140,201,36
127,150,204,35
127,152,205,35
127,153,206,35
127,153,205,35
127,153,205,35
127,153,205,34
127,154,207,34
127,155,210,34
127,159,217,35
127,182,254,36
127,220,308,37
128,311,386,38
128,323,451,38
129,313,485,42
130,306,505,43
130,319,527,43
132,325,536,42
134,343,551,45
135,382,563,48
137,413,564,49
138,442,561,49
141,464,550,50
144,472,555,50
146,481,571,50
147,493,584,49
149,500,591,50
152,504,593,50
155,508,591,51
156,511,589,51
159,512,592,51
159,516,592,51
163,520,565,52
163,515,554,52
163,508,545,52
164,503,547,53
167,504,544,53
170,502,540,54
173,504,549,54
172,510,548,54
175,514,544,53
177,522,539,53
178,532,535,52
180,532,552,53
181,531,560,53
183,527,570,53
185,529,561,53
185,527,555,52
185,527,556,52
186,520,552,53
185,515,546,51
185,511,541,51
189,492,505,46
189,476,488,46
189,462,476,45
189,452,466,45
190,443,457,45
191,435,453,46
191,428,445,45
191,423,437,44
191,417,431,44
191,414,425,44
190,410,419,44
189,407,412,43
188,404,406,43
187,401,402,43
186,398,397,42
185,395,392,42
185,393,386,42
184,392,380,42
183,390,373,41
183,388,368,41
182,383,359,41
182,380,356,42
182,377,351,41
181,371,347,41
182,368,343,42
182,366,339,41
182,364,335,41
182,361,332,41
182,359,329,41
181,357,326,41
181,353,324,40
181,349,323,41
180,345,322,41
180,342,318,40
180,342,316,40
179,342,314,41
179,342,311,41
179,341,309,40
179,341,308,40
179,340,305,40
177,341,301,40
175,340,300,40
176,339,298,40
175,338,297,40
175,338,296,41
174,339,295,40
174,338,293,39
