MQ2,MQ3,MQ5,MQ135
152,140,216,37
151,139,215,37
150,139,214,37
149,138,213,37
148,137,212,37
147,137,212,37
147,137,211,37
146,136,211,37
145,136,210,37
145,136,210,37
144,135,209,37
143,135,209,37
143,135,208,37
142,134,208,37
142,134,207,37
141,134,207,37
141,134,207,37
140,133,207,37
140,133,206,37
140,133,206,37
138,133,205,37
138,132,204,37
138,132,205,37
138,137,206,38
138,159,208,38
138,184,210,37
138,206,217,37
140,232,226,37
139,262,234,36
139,297,240,37
139,326,245,37
139,347,249,37
140,363,253,37
141,375,255,37
141,385,257,38
141,393,260,39
142,400,262,38
142,406,264,37
143,411,266,38
143,415,268,37
143,422,271,38
144,424,272,37
144,426,271,37
144,428,273,38
144,429,273,38
144,428,277,37
145,428,279,38
145,427,279,38
145,424,278,37
145,421,276,38
146,419,274,38
145,417,271,38
145,416,269,37
145,415,265,37
145,413,263,38
145,411,261,38
144,410,260,38
144,407,256,38
144,404,255,38
144,401,254,37
