MQ2,MQ3,MQ5,MQ135
190,296,224,44
192,297,224,47
192,294,223,47
191,293,222,45
189,291,220,44
187,289,219,43
188,288,219,43
189,288,220,44
189,288,220,44
190,289,222,44
191,290,222,44
190,290,223,44
191,289,222,44
190,288,221,44
189,287,220,44
188,286,218,44
188,285,218,43
189,285,219,43
188,284,218,42
188,285,218,43
188,283,218,43
185,279,215,42
188,283,218,43
188,282,219,44
188,283,219,44
188,282,218,43
189,282,218,44
192,282,218,44
195,281,219,44
200,281,219,44
206,281,220,44
209,281,222,44
211,280,224,44
213,280,227,44
214,279,231,45
214,279,234,44
213,279,239,44
214,278,244,44
218,278,249,44
220,278,252,44
221,277,255,44
222,277,258,44
222,278,261,44
222,277,263,45
223,276,266,44
225,276,269,44
225,276,271,45
226,275,273,44
226,275,275,44
227,275,276,45
227,275,279,44
228,274,280,44
228,274,282,44
229,275,284,44
229,273,284,45
229,273,285,44
230,273,287,45
230,272,288,45
230,272,290,44
230,272,290,44
231,271,290,44
231,271,291,44
231,270,291,44
231,269,292,44
231,268,291,44
233,269,294,46
232,268,293,46
232,268,294,45
231,267,293,46
230,267,291,45
229,265,289,45
228,265,287,45
228,265,286,45
225,263,284,46
224,262,282,45
223,261,279,45
222,260,276,46
220,260,275,45
218,258,272,45
218,258,271,45
216,257,269,45
216,257,268,45
214,256,266,45
214,255,265,44
213,255,265,44
212,253,263,44
211,254,261,44
211,253,261,45
211,252,260,45
210,251,259,44
209,251,258,44
209,251,257,44
208,250,256,45
208,250,255,44
207,249,254,44
206,250,254,44
206,248,253,45
205,247,252,44
