MQ2,MQ3,MQ5,MQ135
151,145,226,36
149,143,224,35
150,142,223,35
148,141,222,35
147,140,222,35
147,140,221,35
146,139,222,35
146,138,224,36
146,138,222,35
146,137,222,36
147,137,222,37
146,136,222,36
146,136,222,35
148,136,222,35
146,136,222,34
145,135,222,35
145,135,222,35
144,135,222,36
144,134,222,36
145,134,221,36
144,134,221,36
144,133,221,35
144,133,220,36
144,132,220,35
144,133,220,35
144,134,220,35
144,133,220,36
144,132,220,35
144,132,220,35
143,131,221,36
143,131,221,36
143,131,220,35
143,131,220,36
143,131,220,36
144,131,220,35
143,131,220,35
144,132,220,35
143,131,220,35
143,130,220,35
143,130,220,35
143,130,221,35
143,130,219,37
143,130,219,35
143,130,220,35
144,131,220,35
143,129,219,35
143,129,220,35
143,129,219,35
142,129,220,36
142,129,219,35
142,129,219,36
143,129,219,36
142,128,218,35
142,128,219,35
143,128,219,35
143,128,219,35
142,128,219,36
142,129,218,35
143,129,218,35
142,129,218,35
142,128,218,36
142,128,218,35
142,128,217,35
142,128,217,35
142,128,217,34
141,128,216,35
142,129,216,35
142,129,216,35
142,128,216,36
142,128,216,35
142,128,215,35
141,128,216,36
141,128,215,35
141,128,215,35
141,128,215,35
141,128,216,36
141,128,215,35
141,128,214,35
141,129,214,36
141,128,214,36
141,128,214,35
141,128,214,35
141,128,214,35
141,128,213,36
141,128,213,35
141,127,214,35
142,127,213,35
140,128,213,35
140,127,213,35
141,128,213,35
140,128,214,35
141,127,213,35
140,127,213,35
140,127,213,35
140,127,213,36
140,127,212,35
141,127,212,35
141,127,212,35
140,127,212,35
140,127,212,35
140,127,212,35
140,127,212,35
140,126,212,37
140,126,212,35
140,126,211,35
140,127,211,35
140,127,211,34
140,127,212,35
140,127,211,35
139,128,211,35
139,127,212,35
139,127,211,36
139,127,212,36
139,127,212,37
139,126,212,35
139,127,212,35
139,127,212,35
139,127,211,35
139,128,211,35
139,127,211,35
139,127,211,35
139,126,212,35
138,127,211,35
139,127,211,35
139,127,211,35
139,127,211,36
139,127,211,35
139,128,211,35
139,128,211,35
139,127,211,36
139,127,211,36
139,127,211,35
139,126,212,35
139,127,211,35
139,127,211,35
139,127,211,36
139,127,211,36
139,127,211,36
139,127,211,35
139,127,211,35
139,128,211,36
138,128,213,35
138,127,213,35
139,128,214,36
139,128,214,36
139,128,213,35
139,128,213,35
141,128,214,35
141,128,214,34
141,128,214,34
141,128,214,35
141,128,214,35
141,128,215,35
142,128,214,35
142,128,216,36
144,128,216,36
145,128,217,35
147,128,219,35
148,129,221,35
148,129,224,34
149,129,225,35
151,130,228,36
152,130,228,35
152,130,230,37
152,130,230,35
152,131,231,35
152,132,232,36
152,132,234,35
153,133,236,35
158,134,238,35
162,136,241,36
189,142,292,36
203,145,321,36
209,147,327,37
211,148,330,37
213,150,329,37
214,151,329,36
215,153,330,37
215,154,331,37
215,155,331,36
216,156,332,36
216,158,333,36
216,159,333,37
216,159,331,37
216,160,330,36
215,161,328,37
217,162,336,37
223,163,341,37
225,164,355,37
228,167,367,37
232,175,371,37
234,183,380,37
239,185,379,37
239,187,369,37
239,186,362,37
237,186,358,37
236,186,355,37
236,186,351,38
234,186,349,37
234,185,345,37
233,184,343,37
229,185,339,37
241,186,361,37
244,195,388,37
248,204,399,38
254,210,409,39
258,219,405,39
262,223,399,39
263,213,391,39
261,204,383,38
258,198,366,38
256,195,354,38
254,197,346,38
249,197,340,37
246,198,335,37
244,199,332,37
242,199,329,37
239,200,325,37
237,199,322,37
234,199,320,37
233,199,318,37
230,199,314,37
228,198,311,37
227,197,309,37
225,197,309,37
225,196,306,37
224,195,304,37
222,195,302,37
220,195,300,37
219,194,298,36
219,193,298,37
219,192,296,37
218,192,294,37
216,191,293,37
215,191,291,36
214,191,291,37
213,190,289,37
212,189,287,37
211,189,286,37
211,189,285,37
210,188,283,37
209,187,281,36
208,187,281,36
208,188,280,37
207,186,279,36
207,186,278,36
206,185,278,36
205,184,277,37
205,184,276,37
205,184,275,36
205,183,274,36
203,183,273,35
203,183,273,36
203,183,272,36
203,183,271,36
202,182,271,36
200,182,270,36
199,181,270,36
198,180,269,37
198,180,268,36
197,179,267,36
197,179,265,36
197,178,265,36
196,178,264,36
195,177,263,36
194,177,263,36
194,177,263,37
194,177,262,36
193,176,261,36
193,176,261,37
193,176,260,37
192,175,259,36
191,175,259,36
192,175,259,37
191,175,258,36
190,174,258,36
