MQ2,MQ3,MQ5,MQ135
131,123,196,37
131,122,195,35
131,122,195,35
131,123,195,36
131,123,195,35
131,123,195,35
132,123,195,35
132,124,195,36
131,124,196,36
131,123,196,36
131,123,196,36
131,124,196,37
131,123,196,36
131,123,195,36
131,122,195,35
131,123,195,35
131,123,196,35
131,123,196,35
131,123,197,35
131,122,198,35
131,123,197,35
131,123,197,35
132,124,198,35
132,123,199,35
131,123,199,35
132,123,199,35
133,124,200,35
132,123,201,35
132,124,201,34
133,124,203,34
133,124,203,35
133,124,203,35
133,125,203,34
135,126,205,35
136,127,206,35
135,126,206,35
135,127,206,35
135,127,206,35
135,127,207,35
135,127,207,36
135,127,206,34
135,127,207,35
135,127,207,35
135,127,206,35
135,127,206,35
136,127,206,34
135,127,205,34
135,127,205,35
135,127,204,35
134,127,205,36
135,127,204,35
135,126,204,34
135,126,204,35
135,127,203,35
135,126,204,34
134,125,204,34
134,126,203,34
135,126,203,35
134,125,203,35
134,124,203,34
134,125,204,35
134,124,203,35
134,124,202,35
134,124,202,34
134,124,202,35
134,124,202,34
133,123,201,34
134,124,201,34
134,125,201,35
133,124,201,35
133,123,200,34
133,123,200,35
