MQ2,MQ3,MQ5,MQ135
142,140,192,35
143,141,192,36
142,141,192,35
142,140,192,35
142,140,192,35
142,139,193,36
142,139,192,35
142,140,192,35
142,140,192,35
143,139,192,35
142,140,192,35
142,139,192,35
142,139,192,35
141,139,193,35
142,139,192,35
142,138,192,35
142,138,193,35
142,138,192,35
142,138,193,36
142,138,193,35
143,138,193,35
142,138,193,35
142,138,194,35
144,139,195,36
144,140,196,37
144,139,195,37
144,139,194,36
145,139,194,37
145,139,194,37
150,139,210,36
157,139,215,36
166,140,218,36
175,141,219,37
183,139,223,36
187,139,228,36
189,139,234,36
188,139,237,37
190,140,241,37
195,140,247,37
200,140,248,37
203,140,249,36
210,140,252,36
218,140,259,37
221,141,263,37
220,140,264,36
218,139,265,37
217,140,267,37
217,139,269,38
218,139,271,37
225,140,274,37
227,139,276,37
229,140,278,37
228,140,282,37
230,140,283,37
231,140,283,37
231,140,286,38
231,140,285,37
232,140,285,37
234,140,286,37
235,139,291,38
234,139,292,38
234,139,292,38
236,139,293,38
235,139,293,38
236,139,296,37
237,139,295,38
240,140,300,38
240,139,300,38
239,139,301,37
237,139,300,38
237,139,300,38
237,139,301,37
237,139,302,37
238,140,303,37
238,141,304,38
238,139,304,38
238,139,304,37
239,139,303,38
238,138,304,39
238,138,303,38
240,138,303,37
242,139,306,38
244,140,311,38
245,139,308,38
245,139,304,37
246,140,300,38
245,139,294,38
244,139,290,37
244,139,288,38
242,138,282,38
241,138,279,38
240,138,276,37
239,138,273,37
239,138,271,38
